Alt_Species,Order,Family.name,Family,Common.name,Body.Mass.g,Brain.Mass.g,ReltiveBrainSive.OLSresiduals,RelativeBrainSize.PGLSresiduals,PC1min,PC1max,PC2min,PC2max,Migration,Eggs/year,PercVeg,Pelagic
Spheniscus_magellanicus,SPHENISCIFORMES,Spheniscidae,Penguins,Magellanic Penguin,4000,17.3,0.059412831,0.173364782,-0.295457642,0.657960722,-1.093734045,2.411314672,1,2,0,1
Crypturellus_tataupa,STRUTHIONIFORMES,Tinamidae,Tinamous,Tataupa Tinamou,218.5,1.64,-0.251898993,-0.099958218,0.046176861,1.747569156,-0.45539979,1.712448841,0,9,20,0
Phalacrocorax_auritus,SULIFORMES,Phalacrocoracidae,Cormorants,Double-crested Cormorant,1876.5,7.587,-0.113227427,0.010562333,-1.445008232,1.402399496,-1.736394699,1.589528008,1,3.5,0,1
Ardea_cinerea,PELECANIFORMES,Ardeidae,Herons,Grey Heron,1443,8.1325,-0.018751007,0.108534739,-1.774301467,1.877827657,-2.56858675,2.318224955,1,4.305,0,0
Ortalis_canicollis,GALLIFORMES,Cracidae,"Guans, chachalacas, curassows",Chaco Chachalaca,539,3.495,-0.144392539,-0.00441238,0.025514759,1.288640415,-0.198089753,0.946368651,0,NA,40,0
Columba_livia,COLUMBIFORMES,Columbidae,"Pigeons, doves",Rock Dove,320,2.268149246,-0.204496213,-0.05762591,-1.543629638,1.877827657,-2.610043574,1.953182458,0,8,30,0
Fulica_armillata,GRUIFORMES,Rallidae,"Rails, gallinules, coots",Red-gartered Coot,1060,4.16,-0.234351471,-0.103119443,-0.41224745,0.775003813,-1.41874917,2.403783363,0,NA,100,0
Egretta_thula,PELECANIFORMES,Ardeidae,Herons,Snowy Egret,370,3.74,-0.022846397,0.122042055,-0.991188359,1.84070399,-1.886665162,2.583464478,1,3.64,0,0
Ramphastos_toco,PICIFORMES,Ramphastidae,Toucans,Toco Toucan,618,6.36909,0.082746617,0.220940007,0.220514784,1.736495538,-0.404463793,1.898437835,0,NA,0,0
Andigena_hypoglauca,PICIFORMES,Ramphastidae,Toucans,Grey-breasted Mountain-toucan,315.5,4.8174,0.126112739,0.273171183,0.784475683,1.392978214,0.777022039,2.172892989,0,NA,0,0
Eubucco_bourcierii,PICIFORMES,Capitonidae,New World barbets,Red-headed Barbet,36,1.06708,0.003013192,0.179049795,1.031296542,1.798923764,0.318599032,2.554836153,0,NA,0,0
Chrysocolaptes_lucidus,PICIFORMES,Picidae,Woodpeckers,Buff-spotted Flameback,170.9166667,4.921,0.285452074,0.440637193,0.2708537,1.877827657,-0.825736645,2.019716959,0,NA,0,0
